name,latitude,longitude,kategori,kecamatan,kelurahan
Surabaya European School,-7.2941099,112.6658215,pendidikan,Lakarsantri,Lidah Wetan
SD Kristen Buah Sulung,-7.2577306,112.7567752,pendidikan,Tambaksari,Pacar Keling
SD Katholik Karitas 1,-7.2817343,112.7372508,pendidikan,Tegalsari,Dr. Sutomo
SD Kristen Petra 1,-7.2800655,112.7369785,pendidikan,Tegalsari,Dr. Sutomo
SD Negeri Medokan Semampir 1,-7.3049728,112.7822079,pendidikan,Sukolilo,Medokan Semampir
MI Ibnu Husein,-7.2324705,112.7500691,pendidikan,Semampir,Sidotopo
MTs Ibnu Husein,-7.2311169,112.7502938,pendidikan,Semampir,Sidotopo
KB TK dan SD IT Ar-Rahmah,-7.2234133,112.7828128,pendidikan,Kenjeran,Tanah Kali Kedinding
SD/MI Hidayatul Wathon,-7.2495595,112.7453886,pendidikan,Genteng,Peneleh
TK & SD K. Abdullah Ubaid,-7.2557591,112.7253472,pendidikan,Bubutan,Tembok Dukuh
"RA , TK & SD Tunas Harapan",-7.2421262,112.7222012,pendidikan,Bubutan,Jepara
SMP NEGERI 7 SURABAYA,-7.2239242,112.7300092,pendidikan,Krembangan,Perak Barat
Pondok Pesantren Darussaadah,-7.305102,112.7628685,pendidikan,Sukolilo,Ngiden Jangkungan
Pondok Pesantren Miftachus Sunnah,-7.2617071,112.7628127,pendidikan,Tambaksari,Pacar Kembang
SMK NEGERI 4 SURABAYA,-7.2565354,112.730194,pendidikan,Sawahan,Sawahan
Godwins School,-7.320575,112.7502992,pendidikan,Tenggilis Mejoyo,Kendangsari
SD Kristen Anak Panah Tunas Bangsa Ceria,-7.2489001,112.7796234,pendidikan,Tambaksari,Gading
SMK Pariwisata Satya Widya,-7.2745752,112.7622361,pendidikan,Gubeng,Airlangga
SD Muhammadiyah 6 Surabaya,-7.307135,112.7390381,pendidikan,Wonokromo,Jagir
SMA Muhammadiyah 3 Surabaya,-7.3068265,112.7390773,pendidikan,Wonokromo,Jagir
SMP Muhammadiyah 4,-7.3070555,112.739056,pendidikan,Wonokromo,Jagir
SMK Katolik ST Louis,-7.2568874,112.7209032,pendidikan,Sawahan,Petemon
Little Sun School,-7.2905615,112.768567,pendidikan,Sukolilo,Menur Pumpungan
SMAK Santo Yusup Karangpilang,-7.3373385,112.6991416,pendidikan,Karang Pilang,Kebraon
SMP Muhammadiyah 10 Surabaya,-7.2613254,112.78915,pendidikan,Mulyorejo,Dukuh Sutorejo
SMP Negeri 59 Surabaya,-7.3222334,112.6854425,pendidikan,Wiyung,Balas Klumprik
SMK IKIP Surabaya,-7.2557722,112.7560451,pendidikan,Tambaksari,Tambaksari
Yayasan Pendidikan Islam Al-Ikhlas,-7.2265109,112.7338366,pendidikan,Pabean Cantian,Krembangan Utara
SDK Santo Aloysius,-7.2398688,112.7354301,pendidikan,Krembangan,Krembangan Selatan
SMP Negeri 37 Surabaya,-7.248290663,112.749638,pendidikan,Genteng,Kapasari
SMA Kristen Petra 1,-7.291504299,112.6769942,pendidikan,Lakarsantri,Lidah Wetan
SD Muhammadiyah 26,-7.2901849,112.8000721,pendidikan,Sukolilo,Keputih
"Vita School SD, SMP, SMA",-7.28971885,112.7891156,pendidikan,Sukolilo,Keputih
SMP Negeri 9 Surabaya,-7.250020434,112.7653623,pendidikan,Tambaksari,Rangkah
SMP Negeri 21 Surabaya,-7.319121857,112.7137897,pendidikan,Jambangan,Jambangan
Sekolah Zhongqiao,-7.2609721,112.7432714,pendidikan,Genteng,Ketabang
Yayasan Kemala Bhayangkari,-7.266643959,112.7422234,pendidikan,Genteng,Embong Kaliasin
Sekolah Shindu Bhavan,-7.25746595,112.7287376,pendidikan,Sawahan,Sawahan
SMP Sapta Marga,-7.270841249,112.7386769,pendidikan,Genteng,Embong Kaliasin
Mawar sharon Christan School,-7.269508126,112.7383832,pendidikan,Tegalsari,Tegalsari
SMA Negeri 17,-7.327509111,112.7750016,pendidikan,Rungkut,Rungkut Kidul
SMP Negeri 3 Surabaya,-7.256199944,112.736184,pendidikan,Genteng,Genteng
SMP Negeri 40 Surabaya,-7.318047271,112.6486919,pendidikan,Lakarsantri,Bangkingan
SMA Negeri 5 Surabaya,-7.256682458,112.7501287,pendidikan,Genteng,Ketabang
SD Negeri Margorejo IV/406,-7.310497632,112.7437325,pendidikan,Wonocolo,Bendul Merisi
Pondok Pesantren Muhyiddin,-7.283115735,112.7882353,pendidikan,Sukolilo,Gebang Putih
SD Negeri Dr. Soetomo V-VIII,-7.285682472,112.7351016,pendidikan,Tegalsari,Dr. Sutomo
SMP Negeri 35,-7.327455322,112.7728493,pendidikan,Rungkut,Rungkut Kidul
SD Negeri Rungkut Kidul I/267,-7.330004826,112.7709265,pendidikan,Rungkut,Rungkut Kidul
Pondok Pesantren Al Fitrah,-7.222207324,112.7702137,pendidikan,Kenjeran,Tanah Kali Kedinding
SD-SMA Surabaya Intercultural School,-7.291387991,112.6497495,pendidikan,Lakarsantri,Lidah Kulon
SMP Katolik Karitas,-7.266775209,112.6622828,pendidikan,Sambikerep,Sambikerep
SMP Jalan Jawa,-7.29504989,112.7452814,pendidikan,Wonokromo,Ngagelrejo
SD Negeri Banyu Urip VIII/ 522,-7.273118421,112.7215919,pendidikan,Sawahan,Banyu Urip
SD Negeri Banyu Urip IV/ 365,-7.272901076,112.7216579,pendidikan,Sawahan,Banyu Urip
SMPK Angelus Custos Yayasan Mardi Wiyata,-7.241208852,112.7369147,pendidikan,Krembangan,Krembangan Selatan
Yayasan Mardi Wiyata Perwakilan Surabaya,-7.241343527,112.7370822,pendidikan,Krembangan,Krembangan Selatan
SD-SMP-SMA-SMK Gema 45,-7.290430412,112.7211641,pendidikan,Sawahan,Pakis
SD Negeri Kaliasin 1 & 3,-7.264187281,112.7436676,pendidikan,Genteng,Embong Kaliasin
SMK Kesehatan Nusantara,-7.262152051,112.7423473,pendidikan,Genteng,Embong Kaliasin
SMA Trimurti,-7.262566317,112.7426334,pendidikan,Genteng,Embong Kaliasin
SMP Negeri 6 Surabaya,-7.273877324,112.7485621,pendidikan,Gubeng,Gubeng
SMA Katolik St. Louis 1,-7.280573424,112.7432771,pendidikan,Tegalsari,Keputran
TK SD SMP St. Katarina,-7.281507009,112.7423128,pendidikan,Tegalsari,Keputran
Pondok Pesantren Darul Hijrah,-7.283710533,112.802183,pendidikan,Mulyorejo,Kejawen Putih Tambak
SMP negeri 12 Surabaya,-7.297494762,112.7443311,pendidikan,Wonokromo,Ngagelrejo
SMP Ipiems,-7.286075022,112.7642488,pendidikan,Mulyorejo,Manyar Sabrangan
SMA Ipiems,-7.28600426,112.7637744,pendidikan,Mulyorejo,Manyar Sabrangan
Yayasan YAPITA,-7.28976446,112.797041,pendidikan,Sukolilo,Keputih
Sekolah YPPI - 3 Surabaya,-7.267946787,112.7954476,pendidikan,Mulyorejo,Dukuh Sutorejo
SD Wahid Hasyim 2,-7.2910187,112.7646031,pendidikan,Sukolilo,Menur Pumpungan
Vita School Dove Campus,-7.270917772,112.7784544,pendidikan,Mulyorejo,Mulyorejo
SD Bahrul Ulum,-7.307719384,112.7633993,pendidikan,Tenggilis Mejoyo,Panjang Jiwo
Al-Azhar Islamic School,-7.268145306,112.802663,pendidikan,Mulyorejo,Kalisari
MI Darul Hijroh,-7.262472302,112.761832,pendidikan,Tambaksari,Pacar Kembang
Sekolah Dasar Negeri Gubeng III - 206,-7.269413485,112.7534935,pendidikan,Gubeng,Gubeng
SD Negeri Pacar Keling X,-7.267433533,112.754024,pendidikan,Tambaksari,Pacar Keling
SD Negeri Kaliasin 6,-7.275660723,112.7398605,pendidikan,Genteng,Embong Kaliasin
Yayasan Pondok Pesantren Darussalam,-7.301619262,112.7630363,pendidikan,Sukolilo,Ngiden Jangkungan
SMP UNESA 2,-7.266600678,112.7547588,pendidikan,Tambaksari,Pacar Keling
SD Negeri Kedung Cowek II,-7.219010498,112.7780406,pendidikan,Kenjeran,Tanah Kali Kedinding
